Array,true:beta1,true:beta2,true:t_init,true:E_init,true:t_inflect,start:beta1,start:beta2,start:t_init,start:E_init,start:E_inflect,start:t_inflect
17,0.16,0.03780235275626183,2020-02-15,1,2020-03-23,0.1,0.011785739799961448,2020-03-05,1,2020-03-23,2020-03-23
18,0.17,0.6257211184129119,2020-02-15,1,2020-03-23,0.74,0.09698249865323305,2020-03-08,1,2020-03-23,2020-03-23
19,0.18,0.766486349888146,2020-02-15,1,2020-03-23,2.07,0.5065531032159925,2020-02-29,1,2020-03-23,2020-03-23
20,0.19,0.6340391365811229,2020-02-15,1,2020-03-23,1.47,0.8256364339031279,2020-03-02,1,2020-03-23,2020-03-23
21,0.2,0.7144360246136785,2020-02-15,1,2020-03-23,0.46,0.7998711075633764,2020-02-15,1,2020-03-23,2020-03-23
22,0.21,0.17108042296022177,2020-02-15,1,2020-03-23,1.85,0.17261907644569874,2020-02-16,1,2020-03-23,2020-03-23
23,0.22,0.40006672050803904,2020-02-15,1,2020-03-23,0.44,0.07070931303314865,2020-02-22,1,2020-03-23,2020-03-23
24,0.23,0.4235246842727065,2020-02-15,1,2020-03-23,2.14,0.954457871383056,2020-03-04,1,2020-03-23,2020-03-23
25,0.24,0.6433448171243072,2020-02-15,1,2020-03-23,0.26,0.5515515760052949,2020-02-24,1,2020-03-23,2020-03-23
26,0.25,0.6882018420845271,2020-02-15,1,2020-03-23,1.98,0.2707271494437009,2020-02-20,1,2020-03-23,2020-03-23
27,0.26,0.4124070649966598,2020-02-15,1,2020-03-23,1.1500000000000001,0.16848473669961095,2020-02-15,1,2020-03-23,2020-03-23
28,0.27,0.10841689389199019,2020-02-15,1,2020-03-23,1.59,0.5381317778956145,2020-03-07,1,2020-03-23,2020-03-23
29,0.28,0.05988168567419053,2020-02-15,1,2020-03-23,2,0.3196334613021463,2020-03-12,1,2020-03-23,2020-03-23
30,0.29,0.5717157002538443,2020-02-15,1,2020-03-23,1.12,0.8158862900454551,2020-03-08,1,2020-03-23,2020-03-23
31,0.3,0.30317663811147216,2020-02-15,1,2020-03-23,0.66,0.14541492331773043,2020-02-15,1,2020-03-23,2020-03-23
32,0.31,0.24864971525967122,2020-02-15,1,2020-03-23,1.25,0.30066534667275846,2020-03-08,1,2020-03-23,2020-03-23
33,0.32,0.5074197370558977,2020-02-15,1,2020-03-23,0.77,0.5595185160636902,2020-02-22,1,2020-03-23,2020-03-23
34,0.33,0.23314796425402165,2020-02-15,1,2020-03-23,1.41,0.080015400191769,2020-03-09,1,2020-03-23,2020-03-23
35,0.34,0.5885254468768836,2020-02-15,1,2020-03-23,0.41000000000000003,0.9548112025950104,2020-03-13,1,2020-03-23,2020-03-23
36,0.35000000000000003,0.7182616354897619,2020-02-15,1,2020-03-23,2.32,0.3282771569211036,2020-02-17,1,2020-03-23,2020-03-23
37,0.36,0.4170314440503717,2020-02-15,1,2020-03-23,0.24,0.8796330527402461,2020-03-04,1,2020-03-23,2020-03-23
38,0.37,0.11768189258873463,2020-02-15,1,2020-03-23,0.36,0.529060278320685,2020-02-16,1,2020-03-23,2020-03-23
39,0.38,0.6414098562672734,2020-02-15,1,2020-03-23,2,0.6497938910033554,2020-02-16,1,2020-03-23,2020-03-23
40,0.39,0.0729730224236846,2020-02-15,1,2020-03-23,2.38,0.7877267829608172,2020-02-27,1,2020-03-23,2020-03-23
41,0.4,0.3035531612113118,2020-02-15,1,2020-03-23,1.8800000000000001,0.24272455275058746,2020-02-28,1,2020-03-23,2020-03-23
42,0.41000000000000003,0.25342205408960583,2020-02-15,1,2020-03-23,1.82,0.9646678869612515,2020-03-05,1,2020-03-23,2020-03-23
43,0.42,0.6201492227613926,2020-02-15,1,2020-03-23,0.59,0.29622384044341743,2020-03-01,1,2020-03-23,2020-03-23
44,0.43,0.3562643574550748,2020-02-15,1,2020-03-23,0.2,0.13436250225640833,2020-03-12,1,2020-03-23,2020-03-23
45,0.44,0.2642426362261176,2020-02-15,1,2020-03-23,0.78,0.4715565904043615,2020-02-18,1,2020-03-23,2020-03-23
46,0.45,0.3885373922064901,2020-02-15,1,2020-03-23,2.21,0.48607806116342545,2020-03-13,1,2020-03-23,2020-03-23
47,0.46,0.17850443609058858,2020-02-15,1,2020-03-23,0.44,0.41552111762575805,2020-03-09,1,2020-03-23,2020-03-23
48,0.47000000000000003,0.6297498999163509,2020-02-15,1,2020-03-23,1.27,0.8513664747588336,2020-02-16,1,2020-03-23,2020-03-23
49,0.48,0.6628659380599857,2020-02-15,1,2020-03-23,0.67,0.558056550566107,2020-03-03,1,2020-03-23,2020-03-23
50,0.49,0.7342908853664994,2020-02-15,1,2020-03-23,1.2,0.23322112439200282,2020-03-01,1,2020-03-23,2020-03-23
51,0.5,0.7409162318333984,2020-02-15,1,2020-03-23,0.18,0.3356848678085953,2020-03-01,1,2020-03-23,2020-03-23
52,0.51,0.6681467220187187,2020-02-15,1,2020-03-23,2.37,0.04826789256185293,2020-03-04,1,2020-03-23,2020-03-23
53,0.52,0.2835279796272516,2020-02-15,1,2020-03-23,1.99,0.4341357334051281,2020-03-02,1,2020-03-23,2020-03-23
54,0.53,0.3518822226673365,2020-02-15,1,2020-03-23,1.36,0.6020130563993007,2020-03-11,1,2020-03-23,2020-03-23
55,0.54,0.43426502794027333,2020-02-15,1,2020-03-23,1.78,0.4316754271276295,2020-03-12,1,2020-03-23,2020-03-23
56,0.55,0.18043302409350873,2020-02-15,1,2020-03-23,1.47,0.5655601562466472,2020-03-05,1,2020-03-23,2020-03-23
57,0.56,0.5453384066000581,2020-02-15,1,2020-03-23,2.12,0.8258596989326179,2020-02-21,1,2020-03-23,2020-03-23
58,0.5700000000000001,0.46218736413866285,2020-02-15,1,2020-03-23,1.16,0.13393585314042866,2020-03-07,1,2020-03-23,2020-03-23
59,0.58,0.6024540593847633,2020-02-15,1,2020-03-23,0.79,0.8049841450992972,2020-02-29,1,2020-03-23,2020-03-23
60,0.59,0.7781889107078315,2020-02-15,1,2020-03-23,0.67,0.016259921481832862,2020-02-17,1,2020-03-23,2020-03-23
61,0.6,0.5648333938792348,2020-02-15,1,2020-03-23,1.61,0.4746706422884017,2020-02-28,1,2020-03-23,2020-03-23
62,0.61,0.15973902810364962,2020-02-15,1,2020-03-23,2.04,0.4090889128856361,2020-02-26,1,2020-03-23,2020-03-23
63,0.62,0.2985398778691888,2020-02-15,1,2020-03-23,0.6900000000000001,0.1713256638031453,2020-03-07,1,2020-03-23,2020-03-23
64,0.63,0.009628263674676419,2020-02-15,1,2020-03-23,2.25,0.3157335079740733,2020-03-07,1,2020-03-23,2020-03-23
65,0.64,0.5143331462517381,2020-02-15,1,2020-03-23,1.99,0.9463620882015675,2020-02-25,1,2020-03-23,2020-03-23
66,0.65,0.16559612844139338,2020-02-15,1,2020-03-23,1.96,0.9342687395401299,2020-03-09,1,2020-03-23,2020-03-23
67,0.66,0.2318722374737263,2020-02-15,1,2020-03-23,1.6600000000000001,0.43003578623756766,2020-03-08,1,2020-03-23,2020-03-23
68,0.67,0.7423056656494738,2020-02-15,1,2020-03-23,1.74,0.36349609633907676,2020-02-21,1,2020-03-23,2020-03-23
69,0.68,0.5113011097535491,2020-02-15,1,2020-03-23,2.3000000000000003,0.7175975474528968,2020-03-08,1,2020-03-23,2020-03-23
70,0.6900000000000001,0.46415787748992443,2020-02-15,1,2020-03-23,1.01,0.09400382428430021,2020-03-11,1,2020-03-23,2020-03-23
71,0.7000000000000001,0.48520697765052323,2020-02-15,1,2020-03-23,0.41000000000000003,0.6387695446610451,2020-03-04,1,2020-03-23,2020-03-23
72,0.71,0.25398588031530384,2020-02-15,1,2020-03-23,2.18,0.6268519160803407,2020-03-02,1,2020-03-23,2020-03-23
73,0.72,0.2832290157675743,2020-02-15,1,2020-03-23,2.23,0.4635880938731134,2020-02-18,1,2020-03-23,2020-03-23
74,0.73,0.09886352308094502,2020-02-15,1,2020-03-23,1.8,0.5146147471386939,2020-03-10,1,2020-03-23,2020-03-23
75,0.74,0.4136899296194315,2020-02-15,1,2020-03-23,1.12,0.6348456696141511,2020-02-15,1,2020-03-23,2020-03-23
76,0.75,0.7387577664107084,2020-02-15,1,2020-03-23,1.92,0.311617168597877,2020-02-23,1,2020-03-23,2020-03-23
77,0.76,0.577424331009388,2020-02-15,1,2020-03-23,0,0.9785920470021665,2020-02-18,1,2020-03-23,2020-03-23
78,0.77,0.44886833075433974,2020-02-15,1,2020-03-23,1.79,0.23588442779146135,2020-02-16,1,2020-03-23,2020-03-23
79,0.78,0.06804386619478464,2020-02-15,1,2020-03-23,1.85,0.20105175161734223,2020-03-07,1,2020-03-23,2020-03-23
80,0.79,0.3564245505258441,2020-02-15,1,2020-03-23,0.37,0.5700026599224657,2020-02-29,1,2020-03-23,2020-03-23
81,0.8,0.6898707894608379,2020-02-15,1,2020-03-23,1.37,0.7289827298372984,2020-02-24,1,2020-03-23,2020-03-23
82,0.81,0.6569248419255018,2020-02-15,1,2020-03-23,2.05,0.9376664205919951,2020-03-13,1,2020-03-23,2020-03-23
83,0.8200000000000001,0.38520595896989107,2020-02-15,1,2020-03-23,1.3900000000000001,0.21364383399486542,2020-03-11,1,2020-03-23,2020-03-23
84,0.8300000000000001,0.3849723778665066,2020-02-15,1,2020-03-23,1.79,0.57844153419137,2020-02-16,1,2020-03-23,2020-03-23
85,0.84,0.6005093112587929,2020-02-15,1,2020-03-23,1.68,0.1311609297990799,2020-02-27,1,2020-03-23,2020-03-23
86,0.85,0.3793589822947979,2020-02-15,1,2020-03-23,0.2,0.5272923957090825,2020-02-20,1,2020-03-23,2020-03-23
87,0.86,0.2759902158752084,2020-02-15,1,2020-03-23,2.0300000000000002,0.2396415330003947,2020-03-08,1,2020-03-23,2020-03-23
88,0.87,0.2316647281870246,2020-02-15,1,2020-03-23,1.08,0.4135871808975935,2020-02-17,1,2020-03-23,2020-03-23
89,0.88,0.26389241870492697,2020-02-15,1,2020-03-23,1.23,0.6985171621199697,2020-02-26,1,2020-03-23,2020-03-23
90,0.89,0.028722211718559265,2020-02-15,1,2020-03-23,1.97,0.7670436997432262,2020-03-08,1,2020-03-23,2020-03-23
91,0.9,0.06268308181315661,2020-02-15,1,2020-03-23,0.02,0.2629490434192121,2020-02-21,1,2020-03-23,2020-03-23
92,0.91,0.035741400346159934,2020-02-15,1,2020-03-23,0.31,0.6114221978932619,2020-02-17,1,2020-03-23,2020-03-23
93,0.92,0.2020781397819519,2020-02-15,1,2020-03-23,1,0.485532620921731,2020-02-25,1,2020-03-23,2020-03-23
94,0.93,0.02822441514581442,2020-02-15,1,2020-03-23,0.09,0.9232683661393821,2020-02-28,1,2020-03-23,2020-03-23
95,0.9400000000000001,0.06266772039234639,2020-02-15,1,2020-03-23,1.19,0.7380980581510812,2020-02-15,1,2020-03-23,2020-03-23
96,0.9500000000000001,0.1440154869109392,2020-02-15,1,2020-03-23,0.06,0.3894862635061145,2020-03-10,1,2020-03-23,2020-03-23
97,0.96,0.2751418475061655,2020-02-15,1,2020-03-23,0.47000000000000003,0.6192498793825507,2020-02-15,1,2020-03-23,2020-03-23
98,0.97,0.17357797008007766,2020-02-15,1,2020-03-23,1.83,0.33005966944620013,2020-02-28,1,2020-03-23,2020-03-23
99,0.98,0.045474234223365786,2020-02-15,1,2020-03-23,1.81,0.006230287253856659,2020-02-28,1,2020-03-23,2020-03-23
100,0.99,0.5292264791205525,2020-02-15,1,2020-03-23,1.16,0.2695272215642035,2020-03-01,1,2020-03-23,2020-03-23
101,1,0.6862172700464726,2020-02-15,1,2020-03-23,1.35,0.40679035941138864,2020-03-05,1,2020-03-23,2020-03-23
102,1.01,0.4749049151316285,2020-02-15,1,2020-03-23,2.11,0.8791470662690699,2020-02-26,1,2020-03-23,2020-03-23
103,1.02,0.6092246664687991,2020-02-15,1,2020-03-23,0.07,0.49249320570379496,2020-02-18,1,2020-03-23,2020-03-23
104,1.03,0.7071772780269385,2020-02-15,1,2020-03-23,2.47,0.9927790728397667,2020-03-08,1,2020-03-23,2020-03-23
105,1.04,0.48687036465853456,2020-02-15,1,2020-03-23,0.88,0.7686167459469289,2020-02-17,1,2020-03-23,2020-03-23
106,1.05,0.6280855281278491,2020-02-15,1,2020-03-23,1.82,0.25925652822479606,2020-03-12,1,2020-03-23,2020-03-23
107,1.06,0.7918729901313782,2020-02-15,1,2020-03-23,0.23,0.9323524844367057,2020-02-19,1,2020-03-23,2020-03-23
108,1.07,0.2439291846007109,2020-02-15,1,2020-03-23,1.06,0.42980633839033544,2020-03-05,1,2020-03-23,2020-03-23
109,1.08,0.5626201724633575,2020-02-15,1,2020-03-23,1.26,0.7574687418527901,2020-02-20,1,2020-03-23,2020-03-23
110,1.09,0.03621831312775612,2020-02-15,1,2020-03-23,0.92,0.7748593701981008,2020-03-01,1,2020-03-23,2020-03-23
111,1.1,0.10108560360968114,2020-02-15,1,2020-03-23,1.22,0.9610472943168133,2020-03-11,1,2020-03-23,2020-03-23
112,1.11,0.010330416448414327,2020-02-15,1,2020-03-23,1.96,0.19341042335145175,2020-03-09,1,2020-03-23,2020-03-23
113,1.12,0.6406937267631293,2020-02-15,1,2020-03-23,2.1,0.8226069817319512,2020-03-13,1,2020-03-23,2020-03-23
114,1.1300000000000001,0.3090014370158315,2020-02-15,1,2020-03-23,2.45,0.18943064659833908,2020-02-15,1,2020-03-23,2020-03-23
115,1.1400000000000001,0.6406171210110188,2020-02-15,1,2020-03-23,1.07,0.5335856936872005,2020-02-17,1,2020-03-23,2020-03-23
116,1.1500000000000001,0.31570146996527915,2020-02-15,1,2020-03-23,1.76,0.800907734548673,2020-02-15,1,2020-03-23,2020-03-23
117,1.16,0.514324589073658,2020-02-15,1,2020-03-23,0.3,0.19870184548199177,2020-02-24,1,2020-03-23,2020-03-23
118,1.17,0.7944476341828705,2020-02-15,1,2020-03-23,1.86,0.7412278361152858,2020-02-18,1,2020-03-23,2020-03-23
119,1.18,0.16566810682415964,2020-02-15,1,2020-03-23,1.62,0.9520672182552516,2020-03-09,1,2020-03-23,2020-03-23
120,1.19,0.3733993461355567,2020-02-15,1,2020-03-23,0.5700000000000001,0.690908252960071,2020-02-16,1,2020-03-23,2020-03-23
121,1.2,0.1260480022057891,2020-02-15,1,2020-03-23,0.46,0.4616723780054599,2020-02-19,1,2020-03-23,2020-03-23
122,1.21,0.5953511655330658,2020-02-15,1,2020-03-23,0.56,0.6622973901685327,2020-03-06,1,2020-03-23,2020-03-23
123,1.22,0.19520370773971082,2020-02-15,1,2020-03-23,0.26,0.4300371939316392,2020-03-07,1,2020-03-23,2020-03-23
124,1.23,0.4894539995118976,2020-02-15,1,2020-03-23,1.75,0.8684727924410254,2020-02-24,1,2020-03-23,2020-03-23
125,1.24,0.6219359340146184,2020-02-15,1,2020-03-23,0.9500000000000001,0.9602162942755967,2020-02-19,1,2020-03-23,2020-03-23
126,1.25,0.6167364183813334,2020-02-15,1,2020-03-23,1.12,0.48131269472651184,2020-02-26,1,2020-03-23,2020-03-23
127,1.26,0.23905504401773214,2020-02-15,1,2020-03-23,2.35,0.06075659184716642,2020-03-03,1,2020-03-23,2020-03-23
128,1.27,0.33162669725716115,2020-02-15,1,2020-03-23,1.1500000000000001,0.8415779119823128,2020-02-23,1,2020-03-23,2020-03-23
129,1.28,0.2993204526603222,2020-02-15,1,2020-03-23,1.48,0.7625942344311625,2020-02-22,1,2020-03-23,2020-03-23
130,1.29,0.2993329240009189,2020-02-15,1,2020-03-23,1.95,0.12466107937507331,2020-03-08,1,2020-03-23,2020-03-23
131,1.3,0.6429638171568514,2020-02-15,1,2020-03-23,0.35000000000000003,0.4490818986669183,2020-02-28,1,2020-03-23,2020-03-23
132,1.31,0.44499326664954425,2020-02-15,1,2020-03-23,1.33,0.7523070992901921,2020-02-19,1,2020-03-23,2020-03-23
133,1.32,0.1978700689971447,2020-02-15,1,2020-03-23,1.83,0.1845728000625968,2020-02-29,1,2020-03-23,2020-03-23
134,1.33,0.7323968142271042,2020-02-15,1,2020-03-23,0.21,0.4254992448259145,2020-02-27,1,2020-03-23,2020-03-23
135,1.34,0.4320786559954286,2020-02-15,1,2020-03-23,2.02,0.533385984832421,2020-02-22,1,2020-03-23,2020-03-23
136,1.35,0.7065494433045387,2020-02-15,1,2020-03-23,1.03,0.8382321139797568,2020-02-24,1,2020-03-23,2020-03-23
137,1.36,0.07209270764142275,2020-02-15,1,2020-03-23,0.5,0.1053210289683193,2020-02-27,1,2020-03-23,2020-03-23
138,1.37,0.5927766334265471,2020-02-15,1,2020-03-23,1.51,0.942790360422805,2020-03-08,1,2020-03-23,2020-03-23
139,1.3800000000000001,0.23039931114763024,2020-02-15,1,2020-03-23,0.05,0.3638900297228247,2020-02-25,1,2020-03-23,2020-03-23
140,1.3900000000000001,0.22811704985797407,2020-02-15,1,2020-03-23,0.96,0.34161839820444584,2020-03-01,1,2020-03-23,2020-03-23
141,1.4000000000000001,0.17473386470228436,2020-02-15,1,2020-03-23,1.6500000000000001,0.9559957452584058,2020-03-07,1,2020-03-23,2020-03-23
142,1.41,0.24729472976177932,2020-02-15,1,2020-03-23,1.55,0.6453476045280695,2020-02-29,1,2020-03-23,2020-03-23
143,1.42,0.20662778057157993,2020-02-15,1,2020-03-23,0.06,0.3079721941612661,2020-02-15,1,2020-03-23,2020-03-23
144,1.43,0.520018981769681,2020-02-15,1,2020-03-23,2.35,0.7730171780567616,2020-03-13,1,2020-03-23,2020-03-23
145,1.44,0.5988843454048037,2020-02-15,1,2020-03-23,0.47000000000000003,0.6431437553837895,2020-03-08,1,2020-03-23,2020-03-23
146,1.45,0.2953224238008261,2020-02-15,1,2020-03-23,1.96,0.5113814366050065,2020-02-15,1,2020-03-23,2020-03-23
147,1.46,0.40392285436391834,2020-02-15,1,2020-03-23,2.46,0.42717895028181374,2020-03-04,1,2020-03-23,2020-03-23
148,1.47,0.6357085904106499,2020-02-15,1,2020-03-23,0.68,0.34558152640238404,2020-02-19,1,2020-03-23,2020-03-23
149,1.48,0.7610300639644265,2020-02-15,1,2020-03-23,2.02,0.6775095569901168,2020-02-29,1,2020-03-23,2020-03-23
150,1.49,0.5519543744623662,2020-02-15,1,2020-03-23,1.3800000000000001,0.5817672545090318,2020-02-22,1,2020-03-23,2020-03-23
151,1.5,0.4924661230295897,2020-02-15,1,2020-03-23,0.34,0.607989743584767,2020-02-19,1,2020-03-23,2020-03-23
152,1.51,0.10005608554929496,2020-02-15,1,2020-03-23,0.32,0.1120932346675545,2020-02-21,1,2020-03-23,2020-03-23
153,1.52,0.11397350411862135,2020-02-15,1,2020-03-23,2.38,0.5596500989049673,2020-03-07,1,2020-03-23,2020-03-23
154,1.53,0.27175160888582467,2020-02-15,1,2020-03-23,1.92,0.388706344878301,2020-03-12,1,2020-03-23,2020-03-23
155,1.54,0.08964727055281402,2020-02-15,1,2020-03-23,2.23,0.35962720261886716,2020-03-12,1,2020-03-23,2020-03-23
156,1.55,0.48103577420115473,2020-02-15,1,2020-03-23,0,0.47136763390153646,2020-03-12,1,2020-03-23,2020-03-23
157,1.56,0.10355101581662894,2020-02-15,1,2020-03-23,0.07,0.6023569249082357,2020-02-25,1,2020-03-23,2020-03-23
158,1.57,0.5280382011085749,2020-02-15,1,2020-03-23,0.63,0.30727800424210727,2020-02-21,1,2020-03-23,2020-03-23
159,1.58,0.2771144419908524,2020-02-15,1,2020-03-23,0.47000000000000003,0.6504326704889536,2020-02-28,1,2020-03-23,2020-03-23
160,1.59,0.10324002802371979,2020-02-15,1,2020-03-23,1.3,0.6793003079947084,2020-02-20,1,2020-03-23,2020-03-23
161,1.6,0.1500588716939092,2020-02-15,1,2020-03-23,2.37,0.0788493761792779,2020-03-02,1,2020-03-23,2020-03-23
162,1.61,0.43114844150841236,2020-02-15,1,2020-03-23,2.2600000000000002,0.6423275063280016,2020-02-25,1,2020-03-23,2020-03-23
163,1.62,0.34283306486904624,2020-02-15,1,2020-03-23,0.19,0.6272031432017684,2020-03-13,1,2020-03-23,2020-03-23
164,1.6300000000000001,0.5320942025631666,2020-02-15,1,2020-03-23,0.21,0.5545003898441792,2020-02-18,1,2020-03-23,2020-03-23
165,1.6400000000000001,0.21991500202566386,2020-02-15,1,2020-03-23,1,0.8013199043925852,2020-02-22,1,2020-03-23,2020-03-23
166,1.6500000000000001,0.4177726529538632,2020-02-15,1,2020-03-23,1.75,0.7759812667500228,2020-02-24,1,2020-03-23,2020-03-23
167,1.6600000000000001,0.6670356633141638,2020-02-15,1,2020-03-23,0.98,0.7706010865513235,2020-03-11,1,2020-03-23,2020-03-23
168,1.67,0.0014847809448838235,2020-02-15,1,2020-03-23,1.86,0.1013446357101202,2020-02-21,1,2020-03-23,2020-03-23
169,1.68,0.20562700498849154,2020-02-15,1,2020-03-23,1.07,0.36899164505302906,2020-02-28,1,2020-03-23,2020-03-23
170,1.69,0.18414018079638483,2020-02-15,1,2020-03-23,0.49,0.06643091863952577,2020-03-05,1,2020-03-23,2020-03-23
171,1.7,0.47241053562611346,2020-02-15,1,2020-03-23,2.06,0.3740808458533138,2020-03-04,1,2020-03-23,2020-03-23
172,1.71,0.05527649726718664,2020-02-15,1,2020-03-23,2.29,0.8397398863453418,2020-03-08,1,2020-03-23,2020-03-23
173,1.72,0.3196526112034917,2020-02-15,1,2020-03-23,0.59,0.5632323734462261,2020-02-17,1,2020-03-23,2020-03-23
174,1.73,0.7436258746311069,2020-02-15,1,2020-03-23,1.3,0.30253218160942197,2020-03-03,1,2020-03-23,2020-03-23
175,1.74,0.27917879018932584,2020-02-15,1,2020-03-23,1.71,0.24024781957268715,2020-02-16,1,2020-03-23,2020-03-23
176,1.75,0.7373766329139472,2020-02-15,1,2020-03-23,0.62,0.6020308220759034,2020-02-24,1,2020-03-23,2020-03-23
177,1.76,0.5760922050103545,2020-02-15,1,2020-03-23,0.49,0.24825533758848906,2020-02-15,1,2020-03-23,2020-03-23
178,1.77,0.7159877894446254,2020-02-15,1,2020-03-23,0.74,0.21039416478015482,2020-02-19,1,2020-03-23,2020-03-23
179,1.78,0.680811401642859,2020-02-15,1,2020-03-23,1.62,0.40778297767974436,2020-02-17,1,2020-03-23,2020-03-23
180,1.79,0.07192928735166788,2020-02-15,1,2020-03-23,0.66,0.4528962222393602,2020-02-18,1,2020-03-23,2020-03-23
181,1.8,0.624584417231381,2020-02-15,1,2020-03-23,2.32,0.5734859062358737,2020-03-11,1,2020-03-23,2020-03-23
182,1.81,0.08021495770663023,2020-02-15,1,2020-03-23,0.28,0.3564866525121033,2020-03-02,1,2020-03-23,2020-03-23
183,1.82,0.2780855352059007,2020-02-15,1,2020-03-23,2.09,0.053204647498205304,2020-02-23,1,2020-03-23,2020-03-23
184,1.83,0.09786791373044253,2020-02-15,1,2020-03-23,1.4000000000000001,0.9844130740966648,2020-02-27,1,2020-03-23,2020-03-23
185,1.84,0.07867136672139169,2020-02-15,1,2020-03-23,1.62,0.5005604638718069,2020-02-16,1,2020-03-23,2020-03-23
186,1.85,0.7315572682768107,2020-02-15,1,2020-03-23,2.45,0.6868681374471635,2020-03-01,1,2020-03-23,2020-03-23
187,1.86,0.16214551869779825,2020-02-15,1,2020-03-23,2.04,0.12911537545733154,2020-03-06,1,2020-03-23,2020-03-23
188,1.87,0.21726162414997818,2020-02-15,1,2020-03-23,0.92,0.6558282189071178,2020-03-02,1,2020-03-23,2020-03-23
189,1.8800000000000001,0.14643130004405977,2020-02-15,1,2020-03-23,1.98,0.09766087308526039,2020-02-17,1,2020-03-23,2020-03-23
190,1.8900000000000001,0.3161927690729499,2020-02-15,1,2020-03-23,0.33,0.815461109392345,2020-02-27,1,2020-03-23,2020-03-23
191,1.9000000000000001,0.7421230962499976,2020-02-15,1,2020-03-23,1.34,0.28680575150065124,2020-02-19,1,2020-03-23,2020-03-23
192,1.9100000000000001,0.1072191720828414,2020-02-15,1,2020-03-23,1.52,0.40737307351082563,2020-02-17,1,2020-03-23,2020-03-23
193,1.92,0.5296667382121086,2020-02-15,1,2020-03-23,0.13,0.4431637355592102,2020-02-20,1,2020-03-23,2020-03-23
194,1.93,0.13360095210373402,2020-02-15,1,2020-03-23,0.14,0.2738791818264872,2020-03-03,1,2020-03-23,2020-03-23
195,1.94,0.06497664693742991,2020-02-15,1,2020-03-23,2.1,0.4646547897718847,2020-02-29,1,2020-03-23,2020-03-23
196,1.95,0.4969133134931326,2020-02-15,1,2020-03-23,0.53,0.9946485483087599,2020-02-21,1,2020-03-23,2020-03-23
197,1.96,0.73241235781461,2020-02-15,1,2020-03-23,0.73,0.14354030159302056,2020-02-25,1,2020-03-23,2020-03-23
198,1.97,0.7155831890180707,2020-02-15,1,2020-03-23,1.9100000000000001,0.521377616096288,2020-02-24,1,2020-03-23,2020-03-23
199,1.98,0.05186221264302731,2020-02-15,1,2020-03-23,1.76,0.6409017485566437,2020-02-18,1,2020-03-23,2020-03-23
200,1.99,0.7194558922201395,2020-02-15,1,2020-03-23,1.12,0.5978066441603005,2020-02-16,1,2020-03-23,2020-03-23
201,2,0.72759780716151,2020-02-15,1,2020-03-23,1.6600000000000001,0.8373167742975056,2020-02-25,1,2020-03-23,2020-03-23
202,2.0100000000000002,0.309665016643703,2020-02-15,1,2020-03-23,1.43,0.09615048626437783,2020-02-23,1,2020-03-23,2020-03-23
203,2.02,0.13233323227614166,2020-02-15,1,2020-03-23,2.47,0.18531614285893738,2020-03-01,1,2020-03-23,2020-03-23
